"papel","cotacao","P/L","P/VP","PSR","div.yield","P/ativo","P/cap.giro","P/EBIT","P/ativ_circ.liq","EV/EBIT","EV/EBITDA","mrg_ebit","mrg.Liq","liq.corr","ROIC","ROE","liq.2meses","patrim.liq","div.brut/patrim","cresc.rec.5a","data"
"OGXP3",1.63,-2.15,-0.98,0,0,0.925,0,-16.46,0,-16.46,-16.46,0,0,0,0,0.45530000000000004,0,-53901000,0,0,"2020-10-26T16:09:53.719Z"
"ECPR4",74.96,-2.13,0.96,0,0,0.526,0,-85.23,0,-84.56,-84.81,0,0,0,0,-0.4521,916.88,148244000,0,0,"2020-10-26T16:09:53.719Z"
"MEAL3",3.23,-2.11,1.06,0.682,0,0.38,-8.97,-7.69,-0.82,-10.75,-62.36,-0.08869999999999999,-0.3226,0.81,-0.059000000000000004,-0.4991,58043100,876643000,0.65,-0.0067,"2020-10-26T16:09:53.719Z"
"VTLM3",0.79,-2.07,-0.65,390.404,0,53.237,-0.72,-2.88,-0.64,-2.88,-2.94,-135.485,-188.606,0,5.2170000000000005,0.3147,0,-19776000,0,0.43479999999999996,"2020-10-26T16:09:53.719Z"
"CEDO3",12,-1.97,0.9,0.198,0,0.182,-2.8,11.66,-0.46,31.2,10.82,0.017,-0.1082,0.85,0.019,-0.4561,90682.2,133686000,1.75,0.0968,"2020-10-26T16:09:53.719Z"
"IDVL3",2.3,-1.91,0.94,0,0,0,0,0,0,0,0,0,0,0,0,-0.49340000000000006,33181.8,251321000,0,0,"2020-10-26T16:09:53.719Z"
"IDVL4",2.3,-1.91,0.94,0,0,0,0,0,0,0,0,0,0,0,0,-0.49340000000000006,58196,251321000,0,0,"2020-10-26T16:09:53.719Z"
"BRKM5",24.63,-1.89,-5.81,0.394,0,0.232,1.99,12.02,-0.34,30.32,9.04,0.032799999999999996,-0.218,1.46,0.027999999999999997,3.0676,67321400,-3380230000,-14.09,0.0192,"2020-10-26T16:09:53.719Z"
"ARCZ3",3.66,-1.88,1.95,1.096,0,0.369,1.53,9.5,-0.84,28.18,28.18,0.11539999999999999,-0.5802,2.86,0.0403,-1.0398,0,1934210000,3.92,0.0075,"2020-10-26T16:09:53.719Z"
"ARCZ6",3.63,-1.86,1.94,1.087,0,0.366,1.52,9.42,-0.84,28.1,28.1,0.11539999999999999,-0.5802,2.86,0.0403,-1.0398,0,1934210000,3.92,0.0075,"2020-10-26T16:09:53.719Z"
"BRKM3",23.73,-1.82,-5.6,0.38,0,0.224,1.92,11.58,-0.32,29.88,8.91,0.032799999999999996,-0.218,1.46,0.027999999999999997,3.0676,411503,-3380230000,-14.09,0.0192,"2020-10-26T16:09:53.719Z"
"GPIV33",4.19,-1.78,0.21,-1.471,0,0.099,0.39,-0.71,1.21,1.11,1.11,2.0766999999999998,2.4815,16.05,-0.1893,-0.1183,371458,1485140000,0,-0.10619999999999999,"2020-10-26T16:09:53.719Z"
"BISA3",1.58,-1.77,1.18,1.692,0,0.321,0.86,-4.02,-7.64,-6.21,-9.28,-0.4205,-0.9636,2.22,-0.085,-0.6694,0,1788370000,0.77,-0.24230000000000002,"2020-10-26T16:09:53.719Z"
"MNPR3",5.82,-1.72,-0.11,0.172,0,0.181,-0.1,0.82,-0.08,0.77,0.67,0.209,-0.09970000000000001,0.19,0.2335,0.0638,36325.9,-375829000,0,0.0381,"2020-10-26T16:09:53.719Z"
"CVCB3",14.43,-1.71,-6.02,2.157,0.024900000000000002,0.542,-1.91,-28.81,-1.31,-39.3,30.59,-0.07490000000000001,-1.2836,0.7,-0.0271,3.5179,93589200,-414407000,-4.84,0.0868,"2020-10-26T16:09:53.719Z"
"BCAL6",0.28,-1.7,-0.07,1.946,0,13.03,-0.09,38.77,-0.07,452.65,452.65,0.050199999999999995,-1.1449,0.01,0.3897,0.040999999999999995,0,-290863000,-0.74,0.3774,"2020-10-26T16:09:53.719Z"
"DJON4",0.18,-1.7,0.22,-0.956,0,0.166,-1.29,-1.42,-0.85,-1.98,-1.98,0.6737000000000001,0.5633,0.24,-0.1202,-0.1284,0,2702000,0.09,0.45189999999999997,"2020-10-26T16:09:53.719Z"
"SPRI6",11,-1.68,1.24,0,0,1.196,0,-3.21,0,-2.86,-2.88,0,0,0,0,-0.7382,26.83,22420000,0,-0.0733,"2020-10-26T16:09:53.719Z"
"CALI4",50.21,-1.62,5.26,2.038,0,0.199,0.59,-1.31,-0.43,-1.99,-2.03,-1.5587,-1.2542,3.11,-0.17489999999999997,-3.2368,0,3552000,3.03,-0.3336,"2020-10-26T16:09:53.719Z"
